,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Lorengau,-2.0226,147.2712,83.61,73,64,9.1,PG,1628467286
1,Ushuaia,-54.8,-68.3,40.66,70,40,3.44,AR,1628467131
2,Busselton,-33.65,115.3333,53.1,62,100,20.85,AU,1628467374
3,Hilo,19.7297,-155.09,80.26,88,22,1.01,US,1628467374
4,Antalaha,-14.9003,50.2788,65.79,87,31,5.75,MG,1628467375
5,Waingapu,-9.6567,120.2641,78.49,63,68,10.94,ID,1628467285
6,Carnarvon,-24.8667,113.6333,67.46,76,36,12.48,AU,1628467375
7,Namatanai,-3.6667,152.4333,83.64,68,59,6.93,PG,1628466996
8,Avarua,-21.2078,-159.775,78.85,69,20,12.66,CK,1628467376
9,Lorengau,-2.0226,147.2712,83.61,73,64,9.1,PG,1628467286
10,Ushuaia,-54.8,-68.3,40.66,70,40,3.44,AR,1628467131
11,Busselton,-33.65,115.3333,53.1,62,100,20.85,AU,1628467374
12,Hilo,19.7297,-155.09,80.26,88,22,1.01,US,1628467374
13,Antalaha,-14.9003,50.2788,65.79,87,31,5.75,MG,1628467375
14,Waingapu,-9.6567,120.2641,78.49,63,68,10.94,ID,1628467285
15,Carnarvon,-24.8667,113.6333,67.46,76,36,12.48,AU,1628467375
16,Namatanai,-3.6667,152.4333,83.64,68,59,6.93,PG,1628466996
17,Avarua,-21.2078,-159.775,78.85,69,20,12.66,CK,1628467376
18,Ushuaia,-54.8,-68.3,40.66,70,40,3.44,AR,1628467131
19,Busselton,-33.65,115.3333,53.1,62,100,20.85,AU,1628467374
20,Hilo,19.7297,-155.09,80.26,88,22,1.01,US,1628467374
21,Antalaha,-14.9003,50.2788,65.79,87,31,5.75,MG,1628467375
22,Waingapu,-9.6567,120.2641,78.49,63,68,10.94,ID,1628467285
23,Carnarvon,-24.8667,113.6333,67.46,76,36,12.48,AU,1628467375
24,Namatanai,-3.6667,152.4333,83.64,68,59,6.93,PG,1628466996
25,Avarua,-21.2078,-159.775,78.85,69,20,12.66,CK,1628467376
26,Lorengau,-2.0226,147.2712,83.61,73,64,9.1,PG,1628467286
27,Bluff,-46.6,168.3333,39.79,82,96,15.9,NZ,1628467363
28,Tuatapere,-46.1333,167.6833,39.81,94,98,5.06,NZ,1628467424
29,Frei Paulo,-10.5494,-37.5344,62.44,86,79,3.83,BR,1628467479
30,Rikitea,-23.1203,-134.9692,74.43,76,1,11.83,PF,1628467479
31,Morococha,-11.5997,-76.1411,40.73,60,73,4.7,PE,1628467480
32,Mudgee,-32.5943,149.5871,54.63,77,100,5.86,AU,1628467362
33,Ābādān,30.3392,48.3043,98.91,9,0,9.89,IR,1628467480
34,Albany,42.6001,-73.9662,78.78,74,22,5.41,US,1628467338
35,Requena,39.4883,-1.1004,68.7,88,98,6.33,ES,1628467481
36,Ribeira Grande,38.5167,-28.7,72.86,87,53,16.15,PT,1628467481
37,George Town,5.4112,100.3354,81.9,84,20,0.0,MY,1628467219
38,Colac,-38.3333,143.5833,50.16,72,92,7.56,AU,1628467481
39,Tuktoyaktuk,69.4541,-133.0374,45.19,76,69,11.3,CA,1628467481
40,Lebu,-37.6167,-73.65,44.29,83,5,4.7,CL,1628467482
41,Tambun,-6.2641,107.0712,80.49,94,20,3.44,ID,1628467482
42,Fort-Shevchenko,44.5086,50.263,89.08,35,86,5.53,KZ,1628467483
43,Ancud,-41.8697,-73.8203,43.43,85,13,4.32,CL,1628467470
44,Sirte,31.2089,16.5887,80.44,74,0,12.28,LY,1628467210
45,Chui,-33.6971,-53.4616,57.13,96,98,11.21,UY,1628467343
46,Punta Arenas,-53.15,-70.9167,42.94,71,98,22.41,CL,1628467357
47,Atuona,-9.8,-139.0333,77.68,79,23,21.27,PF,1628467483
48,Bethel,41.3712,-73.414,76.08,82,90,6.91,US,1628467483
49,Iguape,-24.7081,-47.5553,62.55,91,3,5.08,BR,1628467330
50,Padang,-0.9492,100.3543,78.17,85,82,3.76,ID,1628467224
51,Hong Kong,22.2855,114.1577,85.32,89,100,9.6,HK,1628467484
52,Usinsk,65.9939,57.5281,43.9,93,22,8.39,RU,1628467092
53,Jamestown,42.097,-79.2353,78.19,74,74,1.99,US,1628467237
54,Kungurtug,50.5994,97.5228,54.55,73,16,0.69,RU,1628467484
55,Chokurdakh,70.6333,147.9167,67.84,40,64,14.85,RU,1628467485
56,Port Alfred,-33.5906,26.891,59.0,84,47,13.4,ZA,1628467485
57,Hokitika,-42.7167,170.9667,43.79,59,1,2.68,NZ,1628467093
58,Puerto Ayora,-0.7393,-90.3518,70.56,88,43,5.99,EC,1628467486
59,Katsuura,35.1333,140.3,86.11,88,88,26.44,JP,1628467483
60,Port Elizabeth,-33.918,25.5701,53.1,84,93,9.01,ZA,1628467289
61,Upernavik,72.7868,-56.1549,41.16,85,99,3.51,GL,1628467399
62,Canora,51.6333,-102.4343,77.68,24,46,17.69,CA,1628467487
63,Cape Town,-33.9258,18.4232,54.1,90,100,3.0,ZA,1628467487
64,Menongue,-14.6585,17.691,53.96,25,26,5.17,AO,1628467094
65,Narsaq,60.9167,-46.05,44.82,78,10,5.39,GL,1628467488
66,Dikson,73.5069,80.5464,41.59,98,2,7.85,RU,1628467488
67,Ürümqi,43.801,87.6005,72.55,38,0,6.71,CN,1628467434
